"","project_id","bug_id","target_class","execution_id","objective","objective_type","called","activated","useful","ff_eval"
"900021","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.parseDateTime(Ljava/lang/String;)Lorg/joda/time/DateTime;: I81 Branch 34 IFNULL L862 - true","Branch",31849,28223,16131,"72769"
"900022","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.parseMutableDateTime(Ljava/lang/String;)Lorg/joda/time/MutableDateTime;: I42 Branch 37 IF_ICMPLT L901 - false","Branch",51,0,0,"5812"
"900023","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;Lorg/joda/time/ReadablePartial;)V: I8 Branch 13 IFNONNULL L553 - false","Branch",4609,0,0,"3464"
"900024","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;Lorg/joda/time/ReadablePartial;)V: I8 Branch 13 IFNONNULL L553 - true","Branch",3606,0,0,"1955"
"900025","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/lang/Appendable;Lorg/joda/time/ReadableInstant;)V: Line 486","Line",192,0,0,"168"
"900026","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.parseMillis(Ljava/lang/String;)J: I43 Branch 25 IF_ICMPLT L749 - true","Branch",323,0,0,"1118"
"900027","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/lang/Appendable;Lorg/joda/time/ReadableInstant;)V: Line 487","Line",192,0,0,"168"
"900028","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.parseMillis(Ljava/lang/String;)J: I43 Branch 25 IF_ICMPLT L749 - false","Branch",245,0,0,"3837"
"900029","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/lang/StringBuffer;JLorg/joda/time/Chronology;)V: I43 Branch 15 IFLT L627 - true","Branch",494,0,0,"3224"
"900030","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.isOffsetParsed()Z: Line 237","Line",779,0,0,"416"
"900031","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/lang/StringBuffer;JLorg/joda/time/Chronology;)V: I43 Branch 15 IFLT L627 - false","Branch",21350,19373,0,"73198"
"900032","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;JLorg/joda/time/Chronology;)V: I43 Branch 17 IFLT L644 - true","Branch",2678,0,0,"8489"
"900033","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;JLorg/joda/time/Chronology;)V: I36 Branch 16 IFGE L644 - false","Branch",2672,0,0,"8486"
"900034","Time",7,"org.joda.time.format.DateTimeFormatter",4,"org.joda.time.format.DateTimeFormatter.parseMutableDateTime(Ljava/lang/String;)Lorg/joda/time/MutableDateTime;: I81 Branch 40 IFNULL L907 - true","Branch",36397,32876,18936,"73057"
"900035","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.requirePrinter()Lorg/joda/time/format/DateTimePrinter;: I8 Branch 18 IFNONNULL L660 - false","Branch",303,0,0,"483"
"900036","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseMillis(Ljava/lang/String;)J: I37 Branch 24 IFLT L748 - false","Branch",174,0,0,"4895"
"900037","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/lang/StringBuffer;Lorg/joda/time/ReadablePartial;)V: Line 535","Line",25,0,0,"27"
"900038","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseDateTime(Ljava/lang/String;)Lorg/joda/time/DateTime;: I36 Branch 30 IFLT L855 - false","Branch",102,0,0,"5388"
"900039","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.print(Lorg/joda/time/ReadablePartial;)Ljava/lang/String;: Line 615","Line",22,0,0,"27"
"900040","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.print(Lorg/joda/time/ReadablePartial;)Ljava/lang/String;: Line 616","Line",49,0,0,"88"
"900041","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.getChronology()Lorg/joda/time/Chronology;: root-Branch","Branch",194,0,0,"188"
"900042","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseMutableDateTime(Ljava/lang/String;)Lorg/joda/time/MutableDateTime;: I54 Branch 38 IFEQ L903 - true","Branch",85,0,0,"4829"
"900043","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;JLorg/joda/time/Chronology;)V: I43 Branch 17 IFLT L644 - false","Branch",38250,34645,0,"74344"
"900044","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/lang/Appendable;J)V: Line 521","Line",25,0,0,"48"
"900045","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseDateTime(Ljava/lang/String;)Lorg/joda/time/DateTime;: I57 Branch 33 IFNULL L858 - false","Branch",50,0,0,"323"
"900046","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/lang/Appendable;J)V: Line 522","Line",25,0,0,"48"
"900047","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.withLocale(Ljava/util/Locale;)Lorg/joda/time/format/DateTimeFormatter;: I7 Branch 4 IFNULL L190 - true","Branch",4519,966,106,"11408"
"900048","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseDateTime(Ljava/lang/String;)Lorg/joda/time/DateTime;: I57 Branch 33 IFNULL L858 - true","Branch",68,0,0,"421"
"900049","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.getPivotYear()Ljava/lang/Integer;: Line 416","Line",480,0,0,"311"
"900050","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.withLocale(Ljava/util/Locale;)Lorg/joda/time/format/DateTimeFormatter;: I5 Branch 3 IF_ACMPEQ L190 - true","Branch",7,0,0,"2285"
"900051","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseInto(Lorg/joda/time/ReadWritableInstant;Ljava/lang/String;I)I: I98 Branch 21 IFNULL L716 - false","Branch",35,0,0,"256"
"900052","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;Lorg/joda/time/ReadableInstant;)V: root-Branch","Branch",672,0,0,"572"
"900053","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseMutableDateTime(Ljava/lang/String;)Lorg/joda/time/MutableDateTime;: I42 Branch 37 IF_ICMPLT L901 - true","Branch",91,0,0,"469"
"900054","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseInto(Lorg/joda/time/ReadWritableInstant;Ljava/lang/String;I)I: I122 Branch 22 IFNULL L720 - true","Branch",51365,46648,26858,"74389"
"900055","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.isParser()Z: Line 165","Line",672,0,0,"378"
"900056","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/lang/StringBuffer;Lorg/joda/time/ReadablePartial;)V: Line 536","Line",25,0,0,"27"
"900057","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseMillis(Ljava/lang/String;)J: I37 Branch 24 IFLT L748 - true","Branch",101,0,0,"3737"
"900058","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseLocalDate(Ljava/lang/String;)Lorg/joda/time/LocalDate;: Line 773","Line",25,0,0,"38"
"900059","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.getChronology()Lorg/joda/time/Chronology;: Line 271","Line",194,0,0,"169"
"900060","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/lang/StringBuffer;JLorg/joda/time/Chronology;)V: I36 Branch 14 IFGE L627 - false","Branch",194,0,0,"2642"
"900061","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseInto(Lorg/joda/time/ReadWritableInstant;Ljava/lang/String;I)I: Line 715","Line",23,0,0,"69"
"900062","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/lang/Appendable;Lorg/joda/time/ReadablePartial;)V: Line 571","Line",49,0,0,"88"
"900063","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/lang/StringBuffer;Lorg/joda/time/ReadablePartial;)V: I8 Branch 12 IFNONNULL L536 - true","Branch",50,0,0,"791"
"900064","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseInto(Lorg/joda/time/ReadWritableInstant;Ljava/lang/String;I)I: Line 716","Line",23,0,0,"69"
"900065","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.getChronolgy()Lorg/joda/time/Chronology;: root-Branch","Branch",964,0,0,"565"
"900066","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseInto(Lorg/joda/time/ReadWritableInstant;Ljava/lang/String;I)I: Line 723","Line",23,0,0,"69"
"900067","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseMutableDateTime(Ljava/lang/String;)Lorg/joda/time/MutableDateTime;: Line 919","Line",81,0,0,"114"
"900068","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseInto(Lorg/joda/time/ReadWritableInstant;Ljava/lang/String;I)I: Line 724","Line",23,0,0,"69"
"900069","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseInto(Lorg/joda/time/ReadWritableInstant;Ljava/lang/String;I)I: Line 727","Line",23,0,0,"69"
"900070","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseLocalDateTime(Ljava/lang/String;)Lorg/joda/time/LocalDateTime;: I43 Branch 27 IF_ICMPLT L815 - true","Branch",33,0,0,"599"
"900071","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.getChronolgy()Lorg/joda/time/Chronology;: Line 282","Line",964,0,0,"527"
"900072","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseLocalDateTime(Ljava/lang/String;)Lorg/joda/time/LocalDateTime;: I37 Branch 26 IFLT L814 - false","Branch",10,0,0,"4766"
"900073","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/lang/StringBuffer;Lorg/joda/time/ReadablePartial;)V: I8 Branch 12 IFNONNULL L536 - false","Branch",25,0,0,"210"
"900074","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.print(J)Ljava/lang/String;: root-Branch","Branch",25,0,0,"1525"
"900075","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;J)V: root-Branch","Branch",101,0,0,"4880"
"900076","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;Lorg/joda/time/ReadableInstant;)V: Line 476","Line",672,0,0,"405"
"900077","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;Lorg/joda/time/ReadableInstant;)V: Line 474","Line",672,0,0,"405"
"900078","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseMutableDateTime(Ljava/lang/String;)Lorg/joda/time/MutableDateTime;: Line 895","Line",25,0,0,"59"
"900079","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseInto(Lorg/joda/time/ReadWritableInstant;Ljava/lang/String;I)I: I139 Branch 23 IFNULL L724 - false","Branch",62,0,0,"671"
"900080","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseMutableDateTime(Ljava/lang/String;)Lorg/joda/time/MutableDateTime;: I57 Branch 39 IFNULL L903 - false","Branch",251,0,0,"825"
"900081","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;Lorg/joda/time/ReadableInstant;)V: Line 475","Line",672,0,0,"405"
"900082","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.withPivotYear(Ljava/lang/Integer;)Lorg/joda/time/format/DateTimeFormatter;: I13 Branch 11 IFEQ L369 - true","Branch",12,0,0,"801"
"900083","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;Lorg/joda/time/ReadableInstant;)V: Line 473","Line",672,0,0,"405"
"900084","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;J)V: Line 509","Line",101,0,0,"120"
"900085","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.withLocale(Ljava/util/Locale;)Lorg/joda/time/format/DateTimeFormatter;: I12 Branch 5 IFEQ L190 - false","Branch",57934,54381,8348,"74369"
"900086","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseLocalDateTime(Ljava/lang/String;)Lorg/joda/time/LocalDateTime;: I43 Branch 27 IF_ICMPLT L815 - false","Branch",10,0,0,"4375"
"900087","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;J)V: Line 510","Line",191,0,0,"132"
"900088","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.getPivotYear()Ljava/lang/Integer;: root-Branch","Branch",480,0,0,"482"
"900089","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseInto(Lorg/joda/time/ReadWritableInstant;Ljava/lang/String;I)I: I8 Branch 19 IFNONNULL L702 - false","Branch",73,0,0,"3509"
"900090","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.withPivotYear(Ljava/lang/Integer;)Lorg/joda/time/format/DateTimeFormatter;: I13 Branch 11 IFEQ L369 - false","Branch",25,0,0,"439"
"900091","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseMutableDateTime(Ljava/lang/String;)Lorg/joda/time/MutableDateTime;: Line 900","Line",25,0,0,"59"
"900092","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseInto(Lorg/joda/time/ReadWritableInstant;Ljava/lang/String;I)I: I95 Branch 20 IFEQ L716 - false","Branch",23,0,0,"223"
"900093","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseInto(Lorg/joda/time/ReadWritableInstant;Ljava/lang/String;I)I: I95 Branch 20 IFEQ L716 - true","Branch",53,0,0,"6965"
"900094","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.getZone()Lorg/joda/time/DateTimeZone;: root-Branch","Branch",25,0,0,"210"
"900095","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseLocalDate(Ljava/lang/String;)Lorg/joda/time/LocalDate;: root-Branch","Branch",25,0,0,"4030"
"900096","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseMutableDateTime(Ljava/lang/String;)Lorg/joda/time/MutableDateTime;: Line 897","Line",25,0,0,"59"
"900097","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseMutableDateTime(Ljava/lang/String;)Lorg/joda/time/MutableDateTime;: Line 899","Line",25,0,0,"59"
"900098","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseMutableDateTime(Ljava/lang/String;)Lorg/joda/time/MutableDateTime;: Line 898","Line",25,0,0,"59"
"900099","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseLocalDateTime(Ljava/lang/String;)Lorg/joda/time/LocalDateTime;: I79 Branch 29 IFNULL L821 - true","Branch",37724,34280,28028,"74338"
"900100","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseMutableDateTime(Ljava/lang/String;)Lorg/joda/time/MutableDateTime;: I36 Branch 36 IFLT L900 - true","Branch",82,0,0,"3600"
"900101","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseMutableDateTime(Ljava/lang/String;)Lorg/joda/time/MutableDateTime;: I36 Branch 36 IFLT L900 - false","Branch",25,0,0,"5070"
"900102","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/lang/Appendable;J)V: root-Branch","Branch",25,0,0,"202"
"900103","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseMillis(Ljava/lang/String;)J: Line 745","Line",101,0,0,"103"
"900104","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseMillis(Ljava/lang/String;)J: Line 746","Line",101,0,0,"103"
"900105","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseMillis(Ljava/lang/String;)J: Line 743","Line",101,0,0,"103"
"900106","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseMillis(Ljava/lang/String;)J: Line 747","Line",101,0,0,"103"
"900107","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.isOffsetParsed()Z: root-Branch","Branch",383,0,0,"292"
"900108","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseMillis(Ljava/lang/String;)J: Line 748","Line",101,0,0,"103"
"900109","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseDateTime(Ljava/lang/String;)Lorg/joda/time/DateTime;: I42 Branch 31 IF_ICMPLT L856 - false","Branch",176,0,0,"5324"
"900110","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseDateTime(Ljava/lang/String;)Lorg/joda/time/DateTime;: I42 Branch 31 IF_ICMPLT L856 - true","Branch",152,0,0,"615"
"900111","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseDateTime(Ljava/lang/String;)Lorg/joda/time/DateTime;: I54 Branch 32 IFEQ L858 - true","Branch",24,0,0,"5036"
"900112","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;JLorg/joda/time/Chronology;)V: Line 637","Line",101,0,0,"120"
"900113","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;JLorg/joda/time/Chronology;)V: Line 638","Line",101,0,0,"120"
"900114","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;Lorg/joda/time/ReadablePartial;)V: Line 553","Line",1244,0,0,"652"
"900115","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;Lorg/joda/time/ReadablePartial;)V: Line 552","Line",1244,0,0,"652"
"900116","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseDateTime(Ljava/lang/String;)Lorg/joda/time/DateTime;: I54 Branch 32 IFEQ L858 - false","Branch",74,0,0,"569"
"900117","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;JLorg/joda/time/Chronology;)V: Line 641","Line",101,0,0,"120"
"900118","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;JLorg/joda/time/Chronology;)V: Line 642","Line",101,0,0,"120"
"900119","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;JLorg/joda/time/Chronology;)V: Line 643","Line",101,0,0,"120"
"900120","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;JLorg/joda/time/Chronology;)V: Line 644","Line",101,0,0,"120"
"900121","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;JLorg/joda/time/Chronology;)V: Line 650","Line",101,0,0,"120"
"900122","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.isParser()Z: I4 Branch 2 IFNULL L165 - false","Branch",672,0,0,"968"
"900123","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.isPrinter()Z: I4 Branch 1 IFNULL L147 - true","Branch",691,0,0,"1679"
"900124","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.parseMutableDateTime(Ljava/lang/String;)Lorg/joda/time/MutableDateTime;: I101 Branch 41 IFNULL L911 - false","Branch",85,0,0,"464"
"900125","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.print(J)Ljava/lang/String;: Line 601","Line",25,0,0,"48"
"900126","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.printTo(Ljava/io/Writer;JLorg/joda/time/Chronology;)V: Line 651","Line",191,0,0,"132"
"900127","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.print(J)Ljava/lang/String;: Line 600","Line",25,0,0,"48"
"900128","Time",7,"org.joda.time.format.DateTimeFormatter",5,"org.joda.time.format.DateTimeFormatter.print(J)Ljava/lang/String;: Line 599","Line",25,0,0,"48"
