project_id,bug_id,date_fixed
JacksonDatabind,112,2019-05-10 22:48:16 -0700
JacksonDatabind,111,2019-05-07 20:48:24 -0700
JacksonDatabind,110,2019-03-02 17:39:43 -0800
JacksonDatabind,109,2019-02-04 17:51:04 -0800
JacksonDatabind,108,2019-01-23 22:46:03 -0800
JacksonDatabind,107,2019-01-17 22:38:33 -0800
JacksonDatabind,106,2019-01-16 22:20:38 -0800
JacksonDatabind,105,2018-12-06 21:35:10 -0800
JacksonDatabind,104,2018-11-22 17:43:25 -0800
JacksonDatabind,103,2018-09-05 23:17:05 -0700
JacksonXml,6,2018-12-05 22:08:44 -0800
JacksonXml,5,2018-05-21 12:28:21 -0700
JacksonXml,4,2016-11-14 22:34:17 -0800
JacksonXml,3,2016-08-18 15:07:01 -0700
JacksonXml,2,2016-06-09 21:09:39 -0700
JacksonXml,1,2016-01-06 19:35:47 -0800
Jsoup,93,2019-07-04 15:54:14 -0700
Jsoup,92,2019-07-04 15:26:11 -0700
Jsoup,91,2019-05-12 15:28:35 -0700
Jsoup,90,2019-05-12 11:37:10 -0700
Jsoup,89,2018-12-23 22:27:31 -0800
Jsoup,88,2018-12-23 22:02:59 -0800
Jsoup,87,2018-12-22 19:56:49 -0800
Jsoup,86,2018-12-22 18:19:31 -0800
Jsoup,85,2018-12-22 17:28:00 -0800
Jsoup,84,2018-04-29 16:16:12 -0700
JxPath,22,2012-01-20 17:58:11 +0000
JxPath,21,2011-06-08 18:19:50 +0000
JxPath,20,2011-06-08 17:58:55 +0000
JxPath,19,2010-02-27 18:34:39 +0000
JxPath,18,2008-02-03 03:36:01 +0000
JxPath,17,2008-02-03 02:13:59 +0000
JxPath,16,2008-02-02 23:16:01 +0000
JxPath,15,2007-08-27 19:52:56 +0000
JxPath,14,2007-08-27 16:49:28 +0000
JxPath,13,2007-07-25 19:49:33 +0000
Lang,1,2013-07-26 01:03:52 +0000
Lang,3,2013-05-19 10:22:13 +0000
Lang,4,2013-04-23 06:00:41 +0000
Lang,5,2013-01-03 06:19:52 +0000
Lang,6,2012-11-20 20:45:50 +0000
Lang,7,2012-11-11 13:16:22 +0000
Lang,8,2012-09-27 12:56:19 +0000
Lang,9,2012-09-27 00:55:31 +0000
Lang,10,2012-09-27 00:09:15 +0000
Lang,11,2012-06-10 12:40:48 +0000
Math,1,2013-08-31 19:43:02 +0000
Math,2,2013-08-10 00:57:48 +0000
Math,3,2013-07-12 11:29:12 +0000
Math,4,2013-06-03 07:15:00 +0000
Math,5,2013-03-22 18:55:58 +0000
Math,6,2013-03-19 14:51:30 +0000
Math,7,2013-03-19 14:09:08 +0000
Math,8,2013-03-10 12:01:00 +0000
Math,9,2013-03-06 08:53:28 +0000
Math,10,2013-02-15 08:20:11 +0000
Mockito,3,2015-06-04 10:19:14 +0200
Mockito,1,2015-06-04 10:13:46 +0200
Mockito,18,2015-06-03 17:16:21 +0200
Mockito,19,2015-06-03 00:52:12 +0200
Mockito,2,2015-05-08 21:08:46 +0200
Mockito,4,2015-04-19 18:50:25 +0200
Mockito,20,2015-02-16 00:10:52 +0100
Mockito,5,2015-01-20 21:24:00 +0100
Mockito,6,2015-01-02 14:51:26 +0100
Mockito,7,2014-12-31 17:39:04 +0100
Time,1,2013-12-02 21:11:47 +0000
Time,2,2013-12-02 19:14:41 +0000
Time,3,2013-11-27 12:36:35 +0000
Time,4,2013-11-27 12:36:35 +0000
Time,5,2013-11-01 14:06:59 +0000
Time,6,2013-08-16 14:41:18 +0100
Time,7,2013-07-21 01:12:57 +0100
Time,8,2013-07-20 11:49:21 +0100
Time,9,2013-07-20 11:49:21 +0100
Time,10,2013-06-16 11:28:26 +0100
